vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,pickup_datetime1,pickup_datetime2,pickup_date,dropoff_datetime1,dropoff_datetime2,dropoff_date,pickup_time,dropoff_time,customer_id
VTS,6/1/2014 8:00,6/1/2014 8:16,1,10.88,-74.004219,40.722637,1,,-73.86161,40.768307,CRD,30.5,0,0.5,6.0999999,0,37.099998,6/1/2014,8:00:00,19875,6/1/2014,8:16:00,19875,8:00:00,8:16:00,59
VTS,6/1/2014 8:00,6/1/2014 8:25,1,16.93,-74.015594,40.714272,1,,-73.865433,40.770748,CRD,45,0,0.5,10.07,5.3299999,60.900002,6/1/2014,8:00:00,19875,6/1/2014,8:25:00,19875,8:00:00,8:25:00,6
VTS,6/1/2014 8:00,6/1/2014 8:28,1,11.94,-73.982437,40.771526,1,,-73.865433,40.77079,CSH,36,0,0.5,0,5.3299999,41.830002,6/1/2014,8:00:00,19875,6/1/2014,8:28:00,19875,8:00:00,8:28:00,38
VTS,6/1/2014 8:00,6/1/2014 8:24,1,16.370001,-73.977928,40.725471,1,,-73.867859,40.686623,CSH,44.5,0,0.5,0,0,45,6/1/2014,8:00:00,19875,6/1/2014,8:24:00,19875,8:00:00,8:24:00,22
VTS,6/1/2014 8:00,6/1/2014 8:17,1,9.3999996,-73.992027,40.742462,1,,-73.870445,40.773685,CSH,27,0,0.5,0,5.3299999,32.830002,6/1/2014,8:00:00,19875,6/1/2014,8:17:00,19875,8:00:00,8:17:00,20
VTS,6/1/2014 8:00,6/1/2014 8:22,1,10,-73.985451,40.761463,1,,-73.870499,40.773788,CSH,29.5,0,0.5,0,0,30,6/1/2014,8:00:00,19875,6/1/2014,8:22:00,19875,8:00:00,8:22:00,12
VTS,6/1/2014 8:00,6/1/2014 8:19,1,10.68,-73.949478,40.785374,1,,-73.879028,40.87973,CRD,31,0,0.5,5,0,36.5,6/1/2014,8:00:00,19875,6/1/2014,8:19:00,19875,8:00:00,8:19:00,19
VTS,6/1/2014 8:00,6/1/2014 8:08,1,1.9299999,-73.88855,40.74704,1,,-73.904556,40.745461,CSH,8,0,0.5,0,0,8.5,6/1/2014,8:00:00,19875,6/1/2014,8:08:00,19875,8:00:00,8:08:00,51
VTS,6/1/2014 8:00,6/1/2014 8:05,1,1.34,-73.932205,40.75951,1,,-73.918831,40.75938,CSH,6.5,0,0.5,0,0,7,6/1/2014,8:00:00,19875,6/1/2014,8:05:00,19875,8:00:00,8:05:00,2
VTS,6/1/2014 8:00,6/1/2014 8:02,1,0.56,-73.930153,40.744328,1,,-73.920662,40.742764,CSH,4,0,0.5,0,0,4.5,6/1/2014,8:00:00,19875,6/1/2014,8:02:00,19875,8:00:00,8:02:00,62
VTS,6/1/2014 8:00,6/1/2014 8:11,2,3.0699999,-73.971756,40.782085,1,,-73.942749,40.816471,CSH,12.5,0,0.5,0,0,13,6/1/2014,8:00:00,19875,6/1/2014,8:11:00,19875,8:00:00,8:11:00,42
VTS,6/1/2014 8:00,6/1/2014 8:20,1,14.85,-73.780334,40.645374,1,,-73.943886,40.72224,CRD,40,0,0.5,8,0,48.5,6/1/2014,8:00:00,19875,6/1/2014,8:20:00,19875,8:00:00,8:20:00,32
