customer_id,pickup_date,pickup_time,pickup_latitude,pickup_longitude,passenger_count,dropoff_date,dropoff_time,dropoff_latitude,dropoff_longitude,trip_distance,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
1,2014-06-04,08:00:00,40.64406586,-73.78955841,1,2014-06-04,09:25:00,40.76758575,-73.98228455,18.84000015,52,0,0.5,11.47000027,5.329999924,69.30000305
2,2014-06-04,08:00:00,40.7736702,-73.87072754,1,2014-06-04,08:38:00,40.7687912,-73.98413086,8.43999958,30.5,0,0.5,6.099999905,0,37.09999847
3,2014-06-04,08:00:00,40.77383804,-73.87103271,1,2014-06-04,08:30:00,40.7573204,-73.97671509,8.909999847,29.5,0,0.5,0,5.329999924,35.33000183
4,2014-06-04,08:00:00,40.77394104,-73.87120056,4,2014-06-04,08:44:00,40.76209641,-73.978302,12.89999962,43,0,0.5,5,5.329999924,53.83000183
5,2014-06-04,08:00:00,40.77410126,-73.87303162,5,2014-06-04,08:28:00,40.75475311,-73.97543335,8.56000042,27,0,0.5,5,5.329999924,37.83000183
6,2014-06-04,08:00:00,40.76106262,-73.91651917,1,2014-06-04,08:06:00,40.76647186,-73.93075562,0.899999976,6,0,0.5,0,0,6.5
7,2014-06-04,08:00:00,40.74343872,-73.91843414,1,2014-06-04,08:19:00,40.75491714,-73.97376251,3.789999962,16.5,0,0.5,3.299999952,0,20.29999924
8,2014-06-04,08:00:00,40.76560593,-73.93145752,1,2014-06-04,08:23:00,40.75694656,-73.97906494,3.920000076,17.5,0,0.5,3.5,0,21.5
9,2014-06-04,08:00:00,40.80012512,-73.93548584,1,2014-06-04,08:23:00,40.75632858,-73.97171783,4.760000229,18.5,0,0.5,0,0,19
10,2014-06-04,08:00:00,40.77553177,-73.94606781,1,2014-06-04,08:06:00,40.78543472,-73.94966125,1.00999999,6,0,0.5,0,0,6.5
11,2014-06-04,08:00:00,40.77587128,-73.94683075,1,2014-06-04,08:19:00,40.75651169,-73.97424316,2.599999905,14,0,0.5,0,0,14.5
