vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,pickup_datetime1,pickup_datetime2,pickup_date,dropoff_datetime1,dropoff_datetime2,dropoff_date,pickup_time,dropoff_time
VTS,6/1/2014 22:41,6/1/2014 23:13,1,18.809999,-73.781937,40.644737,2,,-73.957993,40.811108,CRD,52,0,0.5,11.47,5.3299999,69.300003,6/1/2014,22:41:00,19875,6/1/2014,23:13:00,19875,22:41:00,23:13:00
VTS,6/1/2014 20:17,6/1/2014 20:29,1,2.4000001,-73.955635,40.773514,1,,-73.977097,40.748726,CRD,10.5,0.5,0.5,2.2,0,13.7,6/1/2014,20:17:00,19875,6/1/2014,20:29:00,19875,20:17:00,20:29:00
VTS,6/1/2014 20:17,6/1/2014 20:32,5,2.7,-74.007843,40.738232,1,,-73.974907,40.750809,CRD,12,0.5,0.5,2.5,0,15.5,6/1/2014,20:17:00,19875,6/1/2014,20:32:00,19875,20:17:00,20:32:00
CMT,6/1/2014 21:56,6/1/2014 21:58,1,1.1,0,0,1,N,0,0,CRD,5,0.5,0.5,1.2,0,7.1999998,6/1/2014,21:56:27,19875,6/1/2014,21:58:40,19875,21:56:27,21:58:40
VTS,6/1/2014 20:17,6/1/2014 20:36,5,3.9400001,-73.995155,40.765072,1,,-73.949112,40.773304,CRD,16.5,0.5,0.5,3.4000001,0,20.9,6/1/2014,20:17:00,19875,6/1/2014,20:36:00,19875,20:17:00,20:36:00
VTS,6/1/2014 20:17,6/1/2014 20:21,5,1.16,-73.986183,40.762558,1,,-73.978172,40.776451,CRD,5.5,0.5,0.5,1,0,7.5,6/1/2014,20:17:00,19875,6/1/2014,20:21:00,19875,20:17:00,20:21:00
CMT,6/1/2014 19:01,6/1/2014 19:29,1,9.5,-73.865952,40.770832,1,N,-73.986359,40.732002,CRD,29.5,0,0.5,8.8000002,5.3299999,44.130001,6/1/2014,19:01:07,19875,6/1/2014,19:29:29,19875,19:01:07,19:29:29
VTS,6/1/2014 20:17,6/1/2014 20:36,1,5.46,-73.958992,40.815102,1,,-73.993469,40.757484,CRD,19.5,0.5,0.5,6,0,26.5,6/1/2014,20:17:00,19875,6/1/2014,20:36:00,19875,20:17:00,20:36:00
VTS,6/1/2014 20:17,6/1/2014 20:26,1,1.6900001,-73.955093,40.769218,1,,-73.957336,40.776241,CSH,8.5,0.5,0.5,0,0,9.5,6/1/2014,20:17:00,19875,6/1/2014,20:26:00,19875,20:17:00,20:26:00
VTS,6/1/2014 20:17,6/1/2014 20:24,2,1.38,-73.987267,40.765949,1,,-73.978012,40.753696,CSH,7,0.5,0.5,0,0,8,6/1/2014,20:17:00,19875,6/1/2014,20:24:00,19875,20:17:00,20:24:00
VTS,6/1/2014 20:17,6/1/2014 20:22,1,1.67,-73.971359,40.79285,1,,-73.955986,40.813801,CRD,7,0.5,0.5,1,0,9,6/1/2014,20:17:00,19875,6/1/2014,20:22:00,19875,20:17:00,20:22:00
VTS,6/1/2014 20:17,6/1/2014 20:35,1,4.5999999,-74.001663,40.726265,1,,-73.958672,40.772385,CRD,16.5,0.5,0.5,4.25,0,21.75,6/1/2014,20:17:00,19875,6/1/2014,20:35:00,19875,20:17:00,20:35:00
CMT,6/1/2014 20:16,6/1/2014 20:33,1,6.9000001,-73.969971,40.762901,1,N,-74.016602,40.709915,CRD,22,0.5,0.5,2,0,25,6/1/2014,20:16:59,19875,6/1/2014,20:33:46,19875,20:16:59,20:33:46
CMT,6/1/2014 20:16,6/1/2014 20:27,1,1.3,-73.990349,40.740383,1,N,-73.988815,40.726982,CSH,8.5,0.5,0.5,0,0,9.5,6/1/2014,20:16:59,19875,6/1/2014,20:27:24,19875,20:16:59,20:27:24
CMT,6/1/2014 20:16,6/1/2014 20:23,2,0.80000001,-73.987358,40.739029,1,N,-73.977776,40.746475,CSH,6.5,0.5,0.5,0,0,7.5,6/1/2014,20:16:58,19875,6/1/2014,20:23:50,19875,20:16:58,20:23:50
CMT,6/1/2014 20:16,6/1/2014 20:21,1,1.1,-73.965454,40.774597,1,N,-73.975296,40.761292,CRD,6,0.5,0.5,1.4,0,8.3999996,6/1/2014,20:16:55,19875,6/1/2014,20:21:21,19875,20:16:55,20:21:21
CMT,6/1/2014 23:25,6/1/2014 23:40,1,9.3000002,-73.983734,40.755692,1,N,-73.927971,40.865585,CRD,26.5,0.5,0.5,5.5,0,33,6/1/2014,23:25:24,19875,6/1/2014,23:40:40,19875,23:25:24,23:40:40
CMT,6/1/2014 20:16,6/1/2014 20:19,1,0.80000001,-73.997749,40.751583,1,N,-74.000488,40.742176,CSH,4.5,0.5,0.5,0,0,5.5,6/1/2014,20:16:48,19875,6/1/2014,20:19:09,19875,20:16:48,20:19:09
CMT,6/1/2014 20:16,6/1/2014 20:20,1,0.80000001,-73.969383,40.753696,1,N,-73.974152,40.743824,CRD,5,1,0.5,1.3,0,7.8000002,6/1/2014,20:16:47,19875,6/1/2014,20:20:28,19875,20:16:47,20:20:28
CMT,6/1/2014 23:25,6/1/2014 23:47,1,5,-73.961533,40.718529,1,N,-74.003876,40.741821,CRD,19,0.5,0.5,4,0,24,6/1/2014,23:25:11,19875,6/1/2014,23:47:23,19875,23:25:11,23:47:23
CMT,6/1/2014 20:16,6/1/2014 20:18,1,0.60000002,-73.947784,40.78334,1,N,-73.953346,40.777863,CSH,4,0.5,0.5,0,0,5,6/1/2014,20:16:45,19875,6/1/2014,20:18:49,19875,20:16:45,20:18:49
CMT,6/1/2014 20:16,6/1/2014 20:43,1,3.4000001,-73.971718,40.757511,1,N,-74.00267,40.725113,CSH,18.5,0.5,0.5,0,0,19.5,6/1/2014,20:16:45,19875,6/1/2014,20:43:06,19875,20:16:45,20:43:06
CMT,6/1/2014 20:16,6/1/2014 20:26,2,1.6,-73.956078,40.819061,1,N,-73.935806,40.822021,CRD,8.5,0.5,0.5,2,0,11.5,6/1/2014,20:16:45,19875,6/1/2014,20:26:04,19875,20:16:45,20:26:04
CMT,6/1/2014 20:16,6/1/2014 20:25,1,1.4,-73.965042,40.759537,1,N,-73.980682,40.747391,CRD,8.5,0.5,0.5,1.9,0,11.4,6/1/2014,20:16:44,19875,6/1/2014,20:25:58,19875,20:16:44,20:25:58
CMT,6/1/2014 6:06,6/1/2014 6:11,1,0.69999999,-73.97831,40.752346,1,N,-73.968781,40.754704,CSH,5,0,0.5,0,0,5.5,6/1/2014,6:06:55,19875,6/1/2014,6:11:18,19875,6:06:55,6:11:18
VTS,6/1/2014 20:37,6/1/2014 20:43,1,1.89,-73.991264,40.744583,1,,-73.97876,40.763569,CRD,7.5,0.5,0.5,1,0,9.5,6/1/2014,20:37:00,19875,6/1/2014,20:43:00,19875,20:37:00,20:43:00
CMT,6/1/2014 20:16,6/1/2014 20:22,1,0.80000001,-73.996384,40.723721,1,N,-73.994972,40.732563,CRD,5.5,0.5,0.5,1.3,0,7.8000002,6/1/2014,20:16:42,19875,6/1/2014,20:22:13,19875,20:16:42,20:22:13
CMT,6/1/2014 19:38,6/1/2014 19:48,1,2,-74.014458,40.703766,1,N,-73.98214,40.713409,CRD,9.5,0,0.5,2,0,12,6/1/2014,19:38:45,19875,6/1/2014,19:48:14,19875,19:38:45,19:48:14
CMT,6/1/2014 20:16,6/1/2014 20:21,1,0.80000001,-73.99884,40.734554,1,N,-73.991394,40.744987,CSH,5,0.5,0.5,0,0,6,6/1/2014,20:16:41,19875,6/1/2014,20:21:25,19875,20:16:41,20:21:25
CMT,6/1/2014 19:38,6/1/2014 19:56,2,2.2,-73.973076,40.748714,1,N,-74.004616,40.746269,CSH,13,0,0.5,0,0,13.5,6/1/2014,19:38:44,19875,6/1/2014,19:56:36,19875,19:38:44,19:56:36
CMT,6/1/2014 20:16,6/1/2014 20:48,1,3.5999999,-73.990723,40.745983,1,N,-73.990601,40.745861,CRD,21,0.5,0.5,14,0,36,6/1/2014,20:16:37,19875,6/1/2014,20:48:32,19875,20:16:37,20:48:32
CMT,6/1/2014 21:15,6/1/2014 21:27,3,2.5999999,-73.993645,40.718307,1,N,-73.99147,40.68795,CSH,11.5,0.5,0.5,0,0,12.5,6/1/2014,21:15:40,19875,6/1/2014,21:27:57,19875,21:15:40,21:27:57
CMT,6/1/2014 20:16,6/1/2014 20:31,2,3.3,-73.941132,40.799393,1,N,-73.906158,40.82349,CSH,13.5,0.5,0.5,0,0,14.5,6/1/2014,20:16:36,19875,6/1/2014,20:31:18,19875,20:16:36,20:31:18
CMT,6/1/2014 20:36,6/1/2014 20:42,2,1.4,-74.004951,40.746319,1,N,-73.98983,40.758816,CRD,6.5,0.5,0.5,1,0,8.5,6/1/2014,20:36:58,19875,6/1/2014,20:42:09,19875,20:36:58,20:42:09
CMT,6/1/2014 20:16,6/1/2014 20:38,2,3.0999999,-74.003288,40.731739,1,N,-73.973167,40.750229,CRD,15.5,0.5,0.5,0,0,16.5,6/1/2014,20:16:33,19875,6/1/2014,20:38:04,19875,20:16:33,20:38:04
CMT,6/1/2014 20:16,6/1/2014 20:22,4,1,-73.994591,40.746201,1,N,-74.005714,40.740189,CSH,6,0.5,0.5,0,0,7,6/1/2014,20:16:31,19875,6/1/2014,20:22:07,19875,20:16:31,20:22:07
CMT,6/1/2014 20:16,6/1/2014 20:32,1,3.5999999,-73.956024,40.767857,1,N,-73.994598,40.742043,CRD,14,0.5,0.5,3,0,18,6/1/2014,20:16:29,19875,6/1/2014,20:32:19,19875,20:16:29,20:32:19
VTS,6/1/2014 21:36,6/1/2014 21:42,1,2.0999999,-73.99292,40.757942,1,,-73.992371,40.73595,CSH,8,0.5,0.5,0,0,9,6/1/2014,21:36:00,19875,6/1/2014,21:42:00,19875,21:36:00,21:42:00
VTS,6/1/2014 19:57,6/1/2014 20:02,2,1.42,-73.964272,40.768887,1,,-73.971619,40.78223,CRD,6.5,0,0.5,1.3,0,8.3000002,6/1/2014,19:57:00,19875,6/1/2014,20:02:00,19875,19:57:00,20:02:00
CMT,6/1/2014 20:16,6/1/2014 20:21,1,1.2,-73.985008,40.756744,1,N,-73.987137,40.768497,CSH,6,0.5,0.5,0,0,7,6/1/2014,20:16:27,19875,6/1/2014,20:21:51,19875,20:16:27,20:21:51
CMT,6/1/2014 20:16,6/1/2014 20:19,1,0.30000001,-73.988655,40.727283,1,N,-73.990784,40.723495,CSH,4,0.5,0.5,0,0,5,6/1/2014,20:16:27,19875,6/1/2014,20:19:55,19875,20:16:27,20:19:55
VTS,6/1/2014 20:31,6/1/2014 20:37,1,0.94999999,-73.972275,40.794235,1,,-73.977211,40.792637,CSH,5.5,0.5,0.5,0,0,6.5,6/1/2014,20:31:00,19875,6/1/2014,20:37:00,19875,20:31:00,20:37:00
CMT,6/1/2014 20:16,6/1/2014 20:27,1,1.6,-73.967445,40.772442,1,N,-73.986382,40.761635,CRD,9.5,0.5,0.5,2.0999999,0,12.6,6/1/2014,20:16:26,19875,6/1/2014,20:27:31,19875,20:16:26,20:27:31
