customer_id,rider_ids,duration_total,distance_total,t_p1_p2,t_p2_d2,t_d2_d1,t_p2_d1,t_d1_d2,d_p1_p2,d_p2_d2,d_d2_d1,d_p2_d1,d_d1_d2,scenario,candidates_count,candidate_ids
1,"[{""$numberLong"":""95""}]",2764,29263,411,1097,1256,1678,1320,3807,11864,13592,23913,11325,0,8,"[{""$numberLong"":""83""},{""$numberLong"":""95""},{""$numberLong"":""97""},{""$numberLong"":""99""},{""$numberLong"":""106""},{""$numberLong"":""122""},{""$numberLong"":""127""},{""$numberLong"":""128""}]"
2,[],2168,28673,0,0,0,0,0,0,0,0,0,0,0,0,[]
3,[],341,1364,0,0,0,0,0,0,0,0,0,0,0,0,[]
4,"[{""$numberLong"":""107""}]",3271,19374,877,1036,1358,1576,1143,6369,5422,7583,6922,6609,0,1,"[{""$numberLong"":""107""}]"
5,[],1693,7605,0,0,0,0,0,0,0,0,0,0,0,0,[]
6,[],176,868,0,0,0,0,0,0,0,0,0,0,0,0,[]
7,[],512,1903,0,0,0,0,0,0,0,0,0,0,0,0,[]
8,"[{""$numberLong"":""210""}]",2164,20313,874,1142,148,1137,196,8989,10838,541,10783,541,0,4,"[{""$numberLong"":""131""},{""$numberLong"":""198""},{""$numberLong"":""210""},{""$numberLong"":""230""}]"
9,[],160,747,0,0,0,0,0,0,0,0,0,0,0,0,[]
10,"[{""$numberLong"":""226""}]",1919,14994,1118,318,529,375,426,11392,1830,2349,1269,2333,1,9,"[{""$numberLong"":""13""},{""$numberLong"":""14""},{""$numberLong"":""18""},{""$numberLong"":""19""},{""$numberLong"":""86""},{""$numberLong"":""111""},{""$numberLong"":""132""},{""$numberLong"":""198""},{""$numberLong"":""226""}]"
11,[],862,3199,0,0,0,0,0,0,0,0,0,0,0,0,[]
12,[],467,2355,0,0,0,0,0,0,0,0,0,0,0,9,"[{""$numberLong"":""14""},{""$numberLong"":""18""},{""$numberLong"":""19""},{""$numberLong"":""86""},{""$numberLong"":""90""},{""$numberLong"":""100""},{""$numberLong"":""111""},{""$numberLong"":""132""},{""$numberLong"":""189""}]"
13,"[{""$numberLong"":""18""}]",2115,8128,294,1021,800,1715,569,843,4459,2826,8469,2601,0,7,"[{""$numberLong"":""18""},{""$numberLong"":""19""},{""$numberLong"":""21""},{""$numberLong"":""86""},{""$numberLong"":""111""},{""$numberLong"":""132""},{""$numberLong"":""198""}]"
14,[],1530,17030,0,0,0,0,0,0,0,0,0,0,0,0,[]
15,[],195,838,0,0,0,0,0,0,0,0,0,0,0,0,[]
16,[],721,2786,0,0,0,0,0,0,0,0,0,0,0,2,"[{""$numberLong"":""85""},{""$numberLong"":""199""}]"
17,"[{""$numberLong"":""90""}]",1686,8375,1153,399,134,469,263,6612,1373,390,1760,751,0,7,"[{""$numberLong"":""21""},{""$numberLong"":""86""},{""$numberLong"":""90""},{""$numberLong"":""100""},{""$numberLong"":""111""},{""$numberLong"":""132""},{""$numberLong"":""189""}]"
19,[],1004,3770,0,0,0,0,0,0,0,0,0,0,0,0,[]
20,"[{""$numberLong"":""111""}]",3695,19834,1632,875,1188,1848,1400,9612,3083,7139,14800,7950,0,4,"[{""$numberLong"":""86""},{""$numberLong"":""100""},{""$numberLong"":""111""},{""$numberLong"":""189""}]"
21,[],938,3734,0,0,0,0,0,0,0,0,0,0,0,0,[]
22,[],880,4169,0,0,0,0,0,0,0,0,0,0,0,7,"[{""$numberLong"":""25""},{""$numberLong"":""100""},{""$numberLong"":""110""},{""$numberLong"":""179""},{""$numberLong"":""189""},{""$numberLong"":""202""},{""$numberLong"":""220""}]"
23,[],1072,7096,0,0,0,0,0,0,0,0,0,0,0,0,[]
24,[],724,3177,0,0,0,0,0,0,0,0,0,0,0,1,"[{""$numberLong"":""179""}]"
25,"[{""$numberLong"":""204""}]",1458,7152,638,536,416,524,296,3521,2629,1623,2578,1053,1,16,"[{""$numberLong"":""27""},{""$numberLong"":""29""},{""$numberLong"":""72""},{""$numberLong"":""105""},{""$numberLong"":""116""},{""$numberLong"":""120""},{""$numberLong"":""143""},{""$numberLong"":""144""},{""$numberLong"":""147""},{""$numberLong"":""177""},{""$numberLong"":""185""},{""$numberLong"":""188""},{""$numberLong"":""192""},{""$numberLong"":""204""},{""$numberLong"":""215""},{""$numberLong"":""227""}]"
26,"[{""$numberLong"":""215""}]",1548,10268,189,324,1035,1227,962,845,1979,7444,9223,7370,0,13,"[{""$numberLong"":""29""},{""$numberLong"":""72""},{""$numberLong"":""105""},{""$numberLong"":""116""},{""$numberLong"":""120""},{""$numberLong"":""143""},{""$numberLong"":""144""},{""$numberLong"":""150""},{""$numberLong"":""185""},{""$numberLong"":""188""},{""$numberLong"":""192""},{""$numberLong"":""215""},{""$numberLong"":""227""}]"
27,[],755,4042,0,0,0,0,0,0,0,0,0,0,0,0,[]
28,[],622,2758,0,0,0,0,0,0,0,0,0,0,0,11,"[{""$numberLong"":""72""},{""$numberLong"":""105""},{""$numberLong"":""116""},{""$numberLong"":""120""},{""$numberLong"":""143""},{""$numberLong"":""144""},{""$numberLong"":""150""},{""$numberLong"":""185""},{""$numberLong"":""188""},{""$numberLong"":""192""},{""$numberLong"":""227""}]"
29,"[{""$numberLong"":""32""}]",2275,10756,1393,270,612,882,598,7850,838,2068,2907,2189,0,11,"[{""$numberLong"":""32""},{""$numberLong"":""35""},{""$numberLong"":""84""},{""$numberLong"":""112""},{""$numberLong"":""146""},{""$numberLong"":""148""},{""$numberLong"":""151""},{""$numberLong"":""155""},{""$numberLong"":""187""},{""$numberLong"":""212""},{""$numberLong"":""235""}]"
30,"[{""$numberLong"":""217""}]",2125,7999,796,412,917,786,751,3253,1482,3264,2866,2502,0,3,"[{""$numberLong"":""156""},{""$numberLong"":""208""},{""$numberLong"":""217""}]"
31,"[{""$numberLong"":""186""}]",2159,16639,976,368,815,940,945,6358,1838,8443,10139,9048,0,11,"[{""$numberLong"":""76""},{""$numberLong"":""82""},{""$numberLong"":""94""},{""$numberLong"":""126""},{""$numberLong"":""149""},{""$numberLong"":""158""},{""$numberLong"":""186""},{""$numberLong"":""193""},{""$numberLong"":""224""},{""$numberLong"":""233""},{""$numberLong"":""234""}]"
33,[],498,1343,0,0,0,0,0,0,0,0,0,0,0,0,[]
34,[],825,3428,0,0,0,0,0,0,0,0,0,0,0,11,"[{""$numberLong"":""84""},{""$numberLong"":""112""},{""$numberLong"":""146""},{""$numberLong"":""148""},{""$numberLong"":""151""},{""$numberLong"":""152""},{""$numberLong"":""155""},{""$numberLong"":""187""},{""$numberLong"":""195""},{""$numberLong"":""200""},{""$numberLong"":""235""}]"
35,[],1117,9791,0,0,0,0,0,0,0,0,0,0,0,0,[]
36,[],712,2545,0,0,0,0,0,0,0,0,0,0,0,0,[]
37,[],509,1374,0,0,0,0,0,0,0,0,0,0,0,0,[]
38,[],531,1651,0,0,0,0,0,0,0,0,0,0,0,3,"[{""$numberLong"":""153""},{""$numberLong"":""159""},{""$numberLong"":""180""}]"
39,"[{""$numberLong"":""152""}]",2853,30791,701,346,1806,1693,1864,5362,1528,23901,23388,17905,0,17,"[{""$numberLong"":""75""},{""$numberLong"":""82""},{""$numberLong"":""84""},{""$numberLong"":""112""},{""$numberLong"":""123""},{""$numberLong"":""126""},{""$numberLong"":""146""},{""$numberLong"":""148""},{""$numberLong"":""149""},{""$numberLong"":""152""},{""$numberLong"":""158""},{""$numberLong"":""187""},{""$numberLong"":""193""},{""$numberLong"":""195""},{""$numberLong"":""200""},{""$numberLong"":""233""},{""$numberLong"":""234""}]"
40,[],483,1418,0,0,0,0,0,0,0,0,0,0,0,0,[]
41,[],1498,6278,0,0,0,0,0,0,0,0,0,0,0,3,"[{""$numberLong"":""81""},{""$numberLong"":""121""},{""$numberLong"":""211""}]"
42,[],2120,18723,0,0,0,0,0,0,0,0,0,0,0,0,[]
43,[],1033,5044,0,0,0,0,0,0,0,0,0,0,0,17,"[{""$numberLong"":""46""},{""$numberLong"":""47""},{""$numberLong"":""51""},{""$numberLong"":""57""},{""$numberLong"":""98""},{""$numberLong"":""102""},{""$numberLong"":""114""},{""$numberLong"":""115""},{""$numberLong"":""121""},{""$numberLong"":""155""},{""$numberLong"":""164""},{""$numberLong"":""165""},{""$numberLong"":""166""},{""$numberLong"":""169""},{""$numberLong"":""211""},{""$numberLong"":""221""},{""$numberLong"":""228""}]"
44,"[{""$numberLong"":""54""}]",2181,18441,884,1296,1,1297,131,3354,15075,12,15086,900,0,14,"[{""$numberLong"":""49""},{""$numberLong"":""53""},{""$numberLong"":""54""},{""$numberLong"":""75""},{""$numberLong"":""82""},{""$numberLong"":""89""},{""$numberLong"":""94""},{""$numberLong"":""123""},{""$numberLong"":""126""},{""$numberLong"":""158""},{""$numberLong"":""162""},{""$numberLong"":""167""},{""$numberLong"":""224""},{""$numberLong"":""231""}]"
45,"[{""$numberLong"":""155""}]",1509,4509,572,898,205,837,100,1866,2720,423,2358,285,1,14,"[{""$numberLong"":""47""},{""$numberLong"":""51""},{""$numberLong"":""57""},{""$numberLong"":""98""},{""$numberLong"":""102""},{""$numberLong"":""114""},{""$numberLong"":""115""},{""$numberLong"":""155""},{""$numberLong"":""164""},{""$numberLong"":""165""},{""$numberLong"":""166""},{""$numberLong"":""169""},{""$numberLong"":""221""},{""$numberLong"":""228""}]"
46,"[{""$numberLong"":""61""}]",1308,5238,379,152,777,929,857,1104,706,3428,4134,3610,0,11,"[{""$numberLong"":""51""},{""$numberLong"":""57""},{""$numberLong"":""61""},{""$numberLong"":""102""},{""$numberLong"":""114""},{""$numberLong"":""164""},{""$numberLong"":""165""},{""$numberLong"":""166""},{""$numberLong"":""169""},{""$numberLong"":""221""},{""$numberLong"":""228""}]"
47,"[{""$numberLong"":""69""}]",2229,8354,938,254,1037,983,1173,3435,737,4182,8625,4283,0,10,"[{""$numberLong"":""50""},{""$numberLong"":""69""},{""$numberLong"":""73""},{""$numberLong"":""91""},{""$numberLong"":""113""},{""$numberLong"":""118""},{""$numberLong"":""159""},{""$numberLong"":""168""},{""$numberLong"":""173""},{""$numberLong"":""196""}]"
48,"[{""$numberLong"":""167""}]",1823,6245,967,724,132,685,207,3109,2500,636,2458,682,0,13,"[{""$numberLong"":""51""},{""$numberLong"":""52""},{""$numberLong"":""53""},{""$numberLong"":""70""},{""$numberLong"":""75""},{""$numberLong"":""123""},{""$numberLong"":""164""},{""$numberLong"":""165""},{""$numberLong"":""166""},{""$numberLong"":""167""},{""$numberLong"":""181""},{""$numberLong"":""221""},{""$numberLong"":""228""}]"
49,"[{""$numberLong"":""162""}]",1847,6190,428,348,1071,920,1154,1590,908,3692,3532,4256,0,11,"[{""$numberLong"":""73""},{""$numberLong"":""91""},{""$numberLong"":""113""},{""$numberLong"":""118""},{""$numberLong"":""159""},{""$numberLong"":""162""},{""$numberLong"":""170""},{""$numberLong"":""173""},{""$numberLong"":""175""},{""$numberLong"":""196""},{""$numberLong"":""231""}]"
50,"[{""$numberLong"":""123""}]",1877,5532,774,635,468,805,792,2296,1978,1258,2676,2173,0,14,"[{""$numberLong"":""52""},{""$numberLong"":""53""},{""$numberLong"":""57""},{""$numberLong"":""70""},{""$numberLong"":""114""},{""$numberLong"":""123""},{""$numberLong"":""164""},{""$numberLong"":""165""},{""$numberLong"":""166""},{""$numberLong"":""169""},{""$numberLong"":""181""},{""$numberLong"":""183""},{""$numberLong"":""221""},{""$numberLong"":""228""}]"
51,"[{""$numberLong"":""221""}]",1062,3391,58,597,407,957,397,121,1604,1666,3275,1571,0,10,"[{""$numberLong"":""53""},{""$numberLong"":""70""},{""$numberLong"":""75""},{""$numberLong"":""164""},{""$numberLong"":""165""},{""$numberLong"":""166""},{""$numberLong"":""169""},{""$numberLong"":""181""},{""$numberLong"":""221""},{""$numberLong"":""228""}]"
52,"[{""$numberLong"":""166""}]",2159,6907,235,1424,759,1189,735,721,6826,2738,3945,2241,1,8,"[{""$numberLong"":""70""},{""$numberLong"":""75""},{""$numberLong"":""87""},{""$numberLong"":""164""},{""$numberLong"":""165""},{""$numberLong"":""166""},{""$numberLong"":""181""},{""$numberLong"":""228""}]"
53,[],667,2670,0,0,0,0,0,0,0,0,0,0,0,0,[]
55,[],846,3327,0,0,0,0,0,0,0,0,0,0,0,1,"[{""$numberLong"":""108""}]"
56,"[{""$numberLong"":""169""}]",3020,17924,1779,775,466,1248,414,12257,3690,1977,6582,1553,0,14,"[{""$numberLong"":""58""},{""$numberLong"":""71""},{""$numberLong"":""98""},{""$numberLong"":""102""},{""$numberLong"":""114""},{""$numberLong"":""115""},{""$numberLong"":""124""},{""$numberLong"":""164""},{""$numberLong"":""165""},{""$numberLong"":""169""},{""$numberLong"":""183""},{""$numberLong"":""205""},{""$numberLong"":""211""},{""$numberLong"":""228""}]"
57,"[{""$numberLong"":""211""}]",806,2629,129,561,446,394,283,744,2015,1227,1226,659,1,8,"[{""$numberLong"":""71""},{""$numberLong"":""98""},{""$numberLong"":""102""},{""$numberLong"":""114""},{""$numberLong"":""115""},{""$numberLong"":""124""},{""$numberLong"":""205""},{""$numberLong"":""211""}]"
58,[],885,3084,0,0,0,0,0,0,0,0,0,0,0,0,[]
59,[],596,2575,0,0,0,0,0,0,0,0,0,0,0,0,[]
60,[],884,5170,0,0,0,0,0,0,0,0,0,0,0,0,[]
62,[],179,760,0,0,0,0,0,0,0,0,0,0,0,0,[]
63,"[{""$numberLong"":""222""}]",2536,11712,703,657,1176,1561,1190,5049,2553,4110,6097,4306,0,5,"[{""$numberLong"":""65""},{""$numberLong"":""174""},{""$numberLong"":""197""},{""$numberLong"":""206""},{""$numberLong"":""222""}]"
64,"[{""$numberLong"":""197""}]",1917,12622,361,441,1115,1415,1183,1165,1386,10071,11171,10039,0,3,"[{""$numberLong"":""174""},{""$numberLong"":""197""},{""$numberLong"":""206""}]"
65,[],1677,17402,0,0,0,0,0,0,0,0,0,0,0,0,[]
66,[],874,5540,0,0,0,0,0,0,0,0,0,0,0,4,"[{""$numberLong"":""68""},{""$numberLong"":""88""},{""$numberLong"":""117""},{""$numberLong"":""184""}]"
67,"[{""$numberLong"":""184""}]",2505,20279,288,906,1311,1781,1302,865,3075,16339,20256,15335,0,3,"[{""$numberLong"":""88""},{""$numberLong"":""117""},{""$numberLong"":""184""}]"
68,"[{""$numberLong"":""287""}]",2572,16089,1068,695,809,1329,987,5541,1936,8612,5238,8078,0,6,"[{""$numberLong"":""75""},{""$numberLong"":""87""},{""$numberLong"":""181""},{""$numberLong"":""279""},{""$numberLong"":""287""},{""$numberLong"":""289""}]"
70,"[{""$numberLong"":""301""}]",1680,4927,682,873,695,500,498,1784,3114,2213,1493,1650,1,5,"[{""$numberLong"":""98""},{""$numberLong"":""102""},{""$numberLong"":""124""},{""$numberLong"":""291""},{""$numberLong"":""301""}]"
71,"[{""$numberLong"":""185""}]",1903,13185,538,165,1200,1366,1188,5045,526,7614,8140,7582,0,11,"[{""$numberLong"":""105""},{""$numberLong"":""116""},{""$numberLong"":""120""},{""$numberLong"":""143""},{""$numberLong"":""144""},{""$numberLong"":""150""},{""$numberLong"":""177""},{""$numberLong"":""185""},{""$numberLong"":""188""},{""$numberLong"":""192""},{""$numberLong"":""227""}]"
