customer_id,pickup_date,pickup_time,pickup_latitude,pickup_longitude,passenger_count,dropoff_date,dropoff_time,dropoff_latitude,dropoff_longitude,trip_distance,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
1,6/1/2014,8:00:00,40.6453743,-73.78033447,1,6/1/2014,8:20:00,40.72224045,-73.9438858,14.85000038,40,0,0.5,8,0,48.5
2,6/1/2014,8:00:00,40.78125763,-73.94608307,1,6/1/2014,8:08:00,40.76553345,-73.96797943,1.99000001,9,0,0.5,0,0,9.5
3,6/1/2014,8:00:00,40.7864151,-73.95684052,1,6/1/2014,8:05:00,40.75703049,-73.97830963,2.430000067,8.5,0,0.5,0,0,9
4,6/1/2014,8:00:00,40.78208542,-73.97175598,2,6/1/2014,8:11:00,40.8164711,-73.94274902,3.069999933,12.5,0,0.5,0,0,13
5,6/1/2014,8:00:00,40.76670837,-73.98167419,5,6/1/2014,8:17:00,40.72434998,-73.9850235,3.75999999,15,0,0.5,2.5,0,18
6,6/1/2014,8:00:00,40.75610733,-73.99068451,2,6/1/2014,8:12:00,40.73911285,-73.97676849,2.329999924,10.5,0,0.5,0,0,11
7,6/1/2014,8:00:00,40.75919342,-73.99578857,1,6/1/2014,8:01:00,40.76475525,-73.99175262,0.49000001,3.5,0,0.5,0,0,4
8,6/1/2014,8:00:05,40.76521683,-73.99771881,2,6/1/2014,8:08:51,40.74962997,-73.99197388,1.5,8,0,0.5,0,0,8.5
9,6/1/2014,8:00:19,40.77254486,-73.97862244,1,6/1/2014,8:08:42,40.77610397,-73.95586395,1.799999952,8.5,0,0.5,1.799999952,0,10.80000019
10,6/1/2014,8:00:29,40.73358154,-73.98670197,1,6/1/2014,8:10:40,40.75624847,-73.98780823,2.200000048,10,0,0.5,1,0,11.5
11,6/1/2014,8:00:37,40.8002243,-73.95693207,2,6/1/2014,8:11:35,40.7815094,-73.98064423,2.299999952,11,0,0.5,0,0,11.5
12,6/1/2014,8:00:42,40.780159,-73.95535278,1,6/1/2014,8:09:38,40.75971222,-73.96520996,1.700000048,8.5,0,0.5,0,0,9
13,6/1/2014,8:00:53,40.76531982,-73.98022461,1,6/1/2014,8:07:11,40.77465439,-73.98419952,0.800000012,6,0,0.5,2,0,8.5
14,6/1/2014,8:01:00,40.79878998,-73.94187927,1,6/1/2014,8:10:00,40.79418182,-73.9631424,1.679999948,8,0,0.5,0,0,8.5
15,6/1/2014,8:01:00,40.76976013,-73.95782471,5,6/1/2014,8:13:00,40.77577591,-73.98680115,2.24000001,10.5,0,0.5,0,0,11
16,6/1/2014,8:01:00,40.75730515,-73.97568512,1,6/1/2014,8:14:00,40.72520828,-74.00348663,3.299999952,13,0,0.5,2.599999905,0,16.10000038
17,6/1/2014,8:01:00,40.7566185,-73.98551178,5,6/1/2014,8:18:00,40.77427673,-73.87259674,9.43999958,27.5,0,0.5,0,5.329999924,33.33000183
18,6/1/2014,8:01:00,40.72077179,-73.99376678,1,6/1/2014,8:10:00,40.74552155,-73.9910965,2.210000038,9.5,0,0.5,1.899999976,0,11.89999962
19,6/1/2014,8:01:03,40.75070953,-73.99091339,1,6/1/2014,8:06:55,40.77256393,-73.98292542,1.799999952,7.5,0,0.5,0,0,8
20,6/1/2014,8:01:10,40.68718338,-73.96263123,1,6/1/2014,8:16:36,40.73295975,-74.00732422,4.599999905,17,0,0.5,0,0,17.5
21,6/1/2014,8:01:20,40.67578506,-74.00067139,1,6/1/2014,8:12:16,40.69186401,-73.9779892,2.5,10.5,0,0.5,2.75,0,13.75
22,6/1/2014,8:01:32,40.76764679,-73.98971558,1,6/1/2014,8:07:07,40.76338959,-73.97169495,1.200000048,6,0,0.5,0,0,6.5
23,6/1/2014,8:01:49,40.75704193,-73.98993683,1,6/1/2014,8:08:47,40.74987411,-73.97485352,1.100000024,7,0,0.5,0,0,7.5
24,6/1/2014,8:01:55,40.73876953,-73.98300171,2,6/1/2014,8:21:08,40.77088928,-73.86560822,10,29,0,0.5,6.960000038,5.329999924,41.79000092
25,6/1/2014,8:02:00,40.77354813,-73.91136169,1,6/1/2014,8:09:00,40.76716232,-73.89691162,1.210000038,7,0,0.5,0,0,7.5
26,6/1/2014,8:02:00,40.76043701,-73.95829773,5,6/1/2014,8:15:00,40.75632095,-73.99048615,2.430000067,11,0,0.5,0,0,11.5
27,6/1/2014,8:02:00,40.75684738,-73.97128296,3,6/1/2014,8:09:00,40.74422455,-73.99145508,1.879999995,8,0,0.5,1.600000024,0,10.10000038
28,6/1/2014,8:02:00,40.75234985,-73.98217773,5,6/1/2014,8:04:00,40.74449539,-73.98740387,0.680000007,4.5,0,0.5,1.649999976,0,6.650000095
29,6/1/2014,8:02:00,40.75980377,-73.98776245,5,6/1/2014,8:13:00,40.78287506,-73.95095062,3.269999981,12,0,0.5,0,0,12.5
30,6/1/2014,8:02:00,40.76509094,-73.99794769,1,6/1/2014,8:28:00,40.77319336,-73.88549042,9.770000458,30,0,0.5,0,5.329999924,35.83000183
31,6/1/2014,8:02:04,40.76153564,-73.99041748,1,6/1/2014,8:08:23,40.76373291,-73.96498108,1.899999976,7.5,0,0.5,2,0,10
32,6/1/2014,8:02:11,40.75510788,-73.97297668,2,6/1/2014,8:13:18,40.70938492,-74.01313782,6.300000191,18.5,0,0.5,0,0,19
33,6/1/2014,8:02:19,40.68395996,-73.99843597,1,6/1/2014,8:12:11,40.71619034,-73.99588013,3.900000095,13.5,0,0.5,1,0,15
34,6/1/2014,8:02:34,40.7719574,-73.98230743,1,6/1/2014,8:17:20,40.88405228,-73.91532135,9,26,0,0.5,7.230000019,2.440000057,36.16999817
35,6/1/2014,8:02:42,40.79465866,-73.97212219,1,6/1/2014,8:13:02,40.76525879,-73.97731018,2.5,10.5,0,0.5,0.5,0,11.5
36,6/1/2014,8:02:51,40.72260666,-73.98451233,1,6/1/2014,8:14:12,40.74835968,-73.9903717,2.5,10.5,0,0.5,2.200000048,0,13.19999981
37,6/1/2014,8:03:00,40.74259949,-73.92069244,1,6/1/2014,8:16:00,40.7684021,-73.86173248,6.96999979,21,0,0.5,1,0,22.5
38,6/1/2014,8:03:00,40.79188538,-73.96829224,1,6/1/2014,8:04:33,40.78697205,-73.97524261,0.600000024,4,0,0.5,0,0,4.5
39,6/1/2014,8:03:00,40.74624634,-73.97995758,1,6/1/2014,8:10:00,40.73274612,-73.99558258,1.539999962,7,0,0.5,0,0,7.5
